Model,Dataset,Config,Seed,ConfidenceGap
GroNLP/hateBERT,tweeteval,prep0_aug0,seed_99511865,0.034829
Twitter/twhin-bert-base,tweeteval,prep0_aug0,seed_14298463,0.026594
Twitter/twhin-bert-base,tweeteval,prep0_aug0,seed_24677315,0.020978
Twitter/twhin-bert-base,tweeteval,prep0_aug0,seed_37622020,0.021432
Twitter/twhin-bert-base,tweeteval,prep0_aug0,seed_43782163,0.060102
Twitter/twhin-bert-base,tweeteval,prep0_aug0,seed_52680723,0.022868
Twitter/twhin-bert-base,tweeteval,prep0_aug0,seed_67351593,0.028475
Twitter/twhin-bert-base,tweeteval,prep0_aug0,seed_70681460,0.022774
Twitter/twhin-bert-base,tweeteval,prep0_aug0,seed_87212562,0.068585
Twitter/twhin-bert-base,tweeteval,prep0_aug0,seed_90995999,0.03549
Twitter/twhin-bert-base,tweeteval,prep0_aug0,seed_99511865,0.028449
albert/albert-base-v2,tweeteval,prep0_aug0,seed_14298463,0.030466
albert/albert-base-v2,tweeteval,prep0_aug0,seed_24677315,0.047966
albert/albert-base-v2,tweeteval,prep0_aug0,seed_37622020,0.031505
albert/albert-base-v2,tweeteval,prep0_aug0,seed_43782163,0.027576
albert/albert-base-v2,tweeteval,prep0_aug0,seed_52680723,0.038098
albert/albert-base-v2,tweeteval,prep0_aug0,seed_67351593,0.040519
albert/albert-base-v2,tweeteval,prep0_aug0,seed_70681460,0.031434
albert/albert-base-v2,tweeteval,prep0_aug0,seed_87212562,0.035008
albert/albert-base-v2,tweeteval,prep0_aug0,seed_90995999,0.060695
albert/albert-base-v2,tweeteval,prep0_aug0,seed_99511865,0.024986
all-MiniLM-L12-v2,tweeteval,prep0_aug0,seed_14298463,0.079237
all-MiniLM-L12-v2,tweeteval,prep0_aug0,seed_24677315,0.034371
all-MiniLM-L12-v2,tweeteval,prep0_aug0,seed_37622020,0.02407
all-MiniLM-L12-v2,tweeteval,prep0_aug0,seed_43782163,0.049287
all-MiniLM-L12-v2,tweeteval,prep0_aug0,seed_52680723,0.043302
all-MiniLM-L12-v2,tweeteval,prep0_aug0,seed_67351593,0.033502
all-MiniLM-L12-v2,tweeteval,prep0_aug0,seed_70681460,0.027772
all-MiniLM-L12-v2,tweeteval,prep0_aug0,seed_87212562,0.032144
all-MiniLM-L12-v2,tweeteval,prep0_aug0,seed_90995999,0.025945
all-MiniLM-L12-v2,tweeteval,prep0_aug0,seed_99511865,0.03762
all-MiniLM-L6-v2,tweeteval,prep0_aug0,seed_14298463,0.031089
all-MiniLM-L6-v2,tweeteval,prep0_aug0,seed_24677315,0.031386
all-MiniLM-L6-v2,tweeteval,prep0_aug0,seed_37622020,0.109872
all-MiniLM-L6-v2,tweeteval,prep0_aug0,seed_43782163,0.078365
all-MiniLM-L6-v2,tweeteval,prep0_aug0,seed_52680723,0.086394
all-MiniLM-L6-v2,tweeteval,prep0_aug0,seed_67351593,0.041601
all-MiniLM-L6-v2,tweeteval,prep0_aug0,seed_70681460,0.043667
all-MiniLM-L6-v2,tweeteval,prep0_aug0,seed_87212562,0.037074
all-MiniLM-L6-v2,tweeteval,prep0_aug0,seed_90995999,0.060749
all-MiniLM-L6-v2,tweeteval,prep0_aug0,seed_99511865,0.06402
all-distilroberta-v1,tweeteval,prep0_aug0,seed_14298463,0.036701
all-distilroberta-v1,tweeteval,prep0_aug0,seed_24677315,0.021288
all-distilroberta-v1,tweeteval,prep0_aug0,seed_37622020,0.023534
all-distilroberta-v1,tweeteval,prep0_aug0,seed_43782163,0.024068
all-distilroberta-v1,tweeteval,prep0_aug0,seed_52680723,0.053603
all-distilroberta-v1,tweeteval,prep0_aug0,seed_67351593,0.031196
all-distilroberta-v1,tweeteval,prep0_aug0,seed_70681460,0.035495
all-distilroberta-v1,tweeteval,prep0_aug0,seed_87212562,0.021309
all-distilroberta-v1,tweeteval,prep0_aug0,seed_90995999,0.0342
all-distilroberta-v1,tweeteval,prep0_aug0,seed_99511865,0.049409
all-mpnet-base-v2,tweeteval,prep0_aug0,seed_14298463,0.026743
all-mpnet-base-v2,tweeteval,prep0_aug0,seed_24677315,0.032591
all-mpnet-base-v2,tweeteval,prep0_aug0,seed_37622020,0.026739
all-mpnet-base-v2,tweeteval,prep0_aug0,seed_43782163,0.026806
all-mpnet-base-v2,tweeteval,prep0_aug0,seed_52680723,0.036186
all-mpnet-base-v2,tweeteval,prep0_aug0,seed_67351593,0.031668
all-mpnet-base-v2,tweeteval,prep0_aug0,seed_70681460,0.02794
all-mpnet-base-v2,tweeteval,prep0_aug0,seed_87212562,0.032137
all-mpnet-base-v2,tweeteval,prep0_aug0,seed_90995999,0.029337
all-mpnet-base-v2,tweeteval,prep0_aug0,seed_99511865,0.031495
answerdotai/ModernBERT-base,tweeteval,prep0_aug0,seed_14298463,0.056668
answerdotai/ModernBERT-base,tweeteval,prep0_aug0,seed_24677315,0.068176
answerdotai/ModernBERT-base,tweeteval,prep0_aug0,seed_37622020,0.045617
answerdotai/ModernBERT-base,tweeteval,prep0_aug0,seed_43782163,0.041686
answerdotai/ModernBERT-base,tweeteval,prep0_aug0,seed_52680723,0.063252
answerdotai/ModernBERT-base,tweeteval,prep0_aug0,seed_67351593,0.04154
answerdotai/ModernBERT-base,tweeteval,prep0_aug0,seed_70681460,0.048071
answerdotai/ModernBERT-base,tweeteval,prep0_aug0,seed_87212562,0.055959
answerdotai/ModernBERT-base,tweeteval,prep0_aug0,seed_90995999,0.045785
answerdotai/ModernBERT-base,tweeteval,prep0_aug0,seed_99511865,0.057069
bert-base-cased,tweeteval,prep0_aug0,seed_14298463,0.027449
bert-base-cased,tweeteval,prep0_aug0,seed_24677315,0.034154
bert-base-cased,tweeteval,prep0_aug0,seed_37622020,0.042216
bert-base-cased,tweeteval,prep0_aug0,seed_43782163,0.033418
bert-base-cased,tweeteval,prep0_aug0,seed_52680723,0.030982
bert-base-cased,tweeteval,prep0_aug0,seed_67351593,0.031492
bert-base-cased,tweeteval,prep0_aug0,seed_70681460,0.024325
bert-base-cased,tweeteval,prep0_aug0,seed_87212562,0.033012
bert-base-cased,tweeteval,prep0_aug0,seed_90995999,0.020373
bert-base-cased,tweeteval,prep0_aug0,seed_99511865,0.039747
bert-base-uncased,tweeteval,prep0_aug0,seed_14298463,0.037036
bert-base-uncased,tweeteval,prep0_aug0,seed_24677315,0.026523
bert-base-uncased,tweeteval,prep0_aug0,seed_37622020,0.031176
bert-base-uncased,tweeteval,prep0_aug0,seed_43782163,0.03726
bert-base-uncased,tweeteval,prep0_aug0,seed_52680723,0.016509
bert-base-uncased,tweeteval,prep0_aug0,seed_67351593,0.028768
bert-base-uncased,tweeteval,prep0_aug0,seed_70681460,0.023694
bert-base-uncased,tweeteval,prep0_aug0,seed_87212562,0.063644
bert-base-uncased,tweeteval,prep0_aug0,seed_90995999,0.025171
bert-base-uncased,tweeteval,prep0_aug0,seed_99511865,0.050987
chandar-lab/NeoBERT,tweeteval,prep0_aug0,seed_14298463,0.046104
chandar-lab/NeoBERT,tweeteval,prep0_aug0,seed_24677315,0.048473
chandar-lab/NeoBERT,tweeteval,prep0_aug0,seed_37622020,0.036573
chandar-lab/NeoBERT,tweeteval,prep0_aug0,seed_43782163,0.042703
chandar-lab/NeoBERT,tweeteval,prep0_aug0,seed_52680723,0.04636
chandar-lab/NeoBERT,tweeteval,prep0_aug0,seed_67351593,0.046895
chandar-lab/NeoBERT,tweeteval,prep0_aug0,seed_70681460,0.066641
chandar-lab/NeoBERT,tweeteval,prep0_aug0,seed_87212562,0.033846
chandar-lab/NeoBERT,tweeteval,prep0_aug0,seed_90995999,0.046298
chandar-lab/NeoBERT,tweeteval,prep0_aug0,seed_99511865,0.066285
distilbert-base-cased,tweeteval,prep0_aug0,seed_14298463,0.032433
distilbert-base-cased,tweeteval,prep0_aug0,seed_24677315,0.033948
distilbert-base-cased,tweeteval,prep0_aug0,seed_37622020,0.029475
distilbert-base-cased,tweeteval,prep0_aug0,seed_43782163,0.043444
distilbert-base-cased,tweeteval,prep0_aug0,seed_52680723,0.050853
distilbert-base-cased,tweeteval,prep0_aug0,seed_67351593,0.027544
distilbert-base-cased,tweeteval,prep0_aug0,seed_70681460,0.027689
distilbert-base-cased,tweeteval,prep0_aug0,seed_87212562,0.088057
distilbert-base-cased,tweeteval,prep0_aug0,seed_90995999,0.050203
distilbert-base-cased,tweeteval,prep0_aug0,seed_99511865,0.033759
distilbert-base-uncased,tweeteval,prep0_aug0,seed_14298463,0.026961
distilbert-base-uncased,tweeteval,prep0_aug0,seed_24677315,0.030037
distilbert-base-uncased,tweeteval,prep0_aug0,seed_37622020,0.025391
distilbert-base-uncased,tweeteval,prep0_aug0,seed_43782163,0.037797
distilbert-base-uncased,tweeteval,prep0_aug0,seed_52680723,0.049067
distilbert-base-uncased,tweeteval,prep0_aug0,seed_67351593,0.021546
distilbert-base-uncased,tweeteval,prep0_aug0,seed_70681460,0.032449
distilbert-base-uncased,tweeteval,prep0_aug0,seed_87212562,0.087503
distilbert-base-uncased,tweeteval,prep0_aug0,seed_90995999,0.033933
distilbert-base-uncased,tweeteval,prep0_aug0,seed_99511865,0.027458
google/mobilebert-uncased,tweeteval,prep0_aug0,seed_14298463,0.061397
google/mobilebert-uncased,tweeteval,prep0_aug0,seed_24677315,0.063136
google/mobilebert-uncased,tweeteval,prep0_aug0,seed_37622020,0.053785
google/mobilebert-uncased,tweeteval,prep0_aug0,seed_43782163,0.149478
google/mobilebert-uncased,tweeteval,prep0_aug0,seed_52680723,0.070038
google/mobilebert-uncased,tweeteval,prep0_aug0,seed_67351593,0.057999
google/mobilebert-uncased,tweeteval,prep0_aug0,seed_70681460,0.067262
google/mobilebert-uncased,tweeteval,prep0_aug0,seed_87212562,0.126507
google/mobilebert-uncased,tweeteval,prep0_aug0,seed_90995999,0.074826
google/mobilebert-uncased,tweeteval,prep0_aug0,seed_99511865,0.067839
gpt2,tweeteval,prep0_aug0,seed_14298463,0.077507
gpt2,tweeteval,prep0_aug0,seed_24677315,0.066256
gpt2,tweeteval,prep0_aug0,seed_37622020,0.079849
gpt2,tweeteval,prep0_aug0,seed_43782163,0.069575
gpt2,tweeteval,prep0_aug0,seed_52680723,0.084933
gpt2,tweeteval,prep0_aug0,seed_67351593,0.073651
gpt2,tweeteval,prep0_aug0,seed_70681460,0.065289
gpt2,tweeteval,prep0_aug0,seed_87212562,0.064019
gpt2,tweeteval,prep0_aug0,seed_90995999,0.074634
gpt2,tweeteval,prep0_aug0,seed_99511865,0.079333
roberta-base,tweeteval,prep0_aug0,seed_14298463,0.030348
roberta-base,tweeteval,prep0_aug0,seed_24677315,0.034771
roberta-base,tweeteval,prep0_aug0,seed_37622020,0.026703
roberta-base,tweeteval,prep0_aug0,seed_43782163,0.04409
roberta-base,tweeteval,prep0_aug0,seed_52680723,0.038857
roberta-base,tweeteval,prep0_aug0,seed_67351593,0.02412
roberta-base,tweeteval,prep0_aug0,seed_70681460,0.032058
roberta-base,tweeteval,prep0_aug0,seed_87212562,0.028256
roberta-base,tweeteval,prep0_aug0,seed_90995999,0.032242
roberta-base,tweeteval,prep0_aug0,seed_99511865,0.027768
sarkerlab/SocBERT-base,tweeteval,prep0_aug0,seed_14298463,0.033228
sarkerlab/SocBERT-base,tweeteval,prep0_aug0,seed_24677315,0.033097
sarkerlab/SocBERT-base,tweeteval,prep0_aug0,seed_37622020,0.022961
sarkerlab/SocBERT-base,tweeteval,prep0_aug0,seed_43782163,0.040216
sarkerlab/SocBERT-base,tweeteval,prep0_aug0,seed_52680723,0.068047
sarkerlab/SocBERT-base,tweeteval,prep0_aug0,seed_67351593,0.033678
sarkerlab/SocBERT-base,tweeteval,prep0_aug0,seed_70681460,0.035493
sarkerlab/SocBERT-base,tweeteval,prep0_aug0,seed_87212562,0.040844
sarkerlab/SocBERT-base,tweeteval,prep0_aug0,seed_90995999,0.024461
sarkerlab/SocBERT-base,tweeteval,prep0_aug0,seed_99511865,0.033294
vinai/bertweet-base,tweeteval,prep0_aug0,seed_14298463,0.040613
vinai/bertweet-base,tweeteval,prep0_aug0,seed_24677315,0.029108
vinai/bertweet-base,tweeteval,prep0_aug0,seed_37622020,0.032743
vinai/bertweet-base,tweeteval,prep0_aug0,seed_43782163,0.038206
vinai/bertweet-base,tweeteval,prep0_aug0,seed_52680723,0.099435
vinai/bertweet-base,tweeteval,prep0_aug0,seed_67351593,0.03037
vinai/bertweet-base,tweeteval,prep0_aug0,seed_70681460,0.029217
vinai/bertweet-base,tweeteval,prep0_aug0,seed_87212562,0.046763
vinai/bertweet-base,tweeteval,prep0_aug0,seed_90995999,0.025323
vinai/bertweet-base,tweeteval,prep0_aug0,seed_99511865,0.02489
xlnet-base-cased,tweeteval,prep0_aug0,seed_14298463,0.014913
xlnet-base-cased,tweeteval,prep0_aug0,seed_24677315,0.020514
xlnet-base-cased,tweeteval,prep0_aug0,seed_37622020,0.025313
xlnet-base-cased,tweeteval,prep0_aug0,seed_43782163,0.027062
xlnet-base-cased,tweeteval,prep0_aug0,seed_52680723,0.025139
xlnet-base-cased,tweeteval,prep0_aug0,seed_67351593,0.040072
xlnet-base-cased,tweeteval,prep0_aug0,seed_70681460,0.025379
xlnet-base-cased,tweeteval,prep0_aug0,seed_87212562,0.017036
xlnet-base-cased,tweeteval,prep0_aug0,seed_90995999,0.021535
xlnet-base-cased,tweeteval,prep0_aug0,seed_99511865,0.05382
GroNLP/hateBERT,ieee,prep1_aug0,seed_14298463,0.325552
GroNLP/hateBERT,ieee,prep1_aug0,seed_24677315,0.193547
GroNLP/hateBERT,ieee,prep1_aug0,seed_37622020,0.17314
GroNLP/hateBERT,ieee,prep1_aug0,seed_43782163,0.213544
GroNLP/hateBERT,ieee,prep1_aug0,seed_52680723,0.204547
GroNLP/hateBERT,ieee,prep1_aug0,seed_67351593,0.255142
GroNLP/hateBERT,ieee,prep1_aug0,seed_70681460,0.200428
GroNLP/hateBERT,ieee,prep1_aug0,seed_87212562,0.239546
GroNLP/hateBERT,ieee,prep1_aug0,seed_90995999,0.246652
GroNLP/hateBERT,ieee,prep1_aug0,seed_99511865,0.173066
Twitter/twhin-bert-base,ieee,prep1_aug0,seed_14298463,0.202598
Twitter/twhin-bert-base,ieee,prep1_aug0,seed_24677315,0.173375
Twitter/twhin-bert-base,ieee,prep1_aug0,seed_37622020,0.084509
Twitter/twhin-bert-base,ieee,prep1_aug0,seed_43782163,0.109154
Twitter/twhin-bert-base,ieee,prep1_aug0,seed_52680723,0.125014
Twitter/twhin-bert-base,ieee,prep1_aug0,seed_67351593,0.162772
Twitter/twhin-bert-base,ieee,prep1_aug0,seed_70681460,0.067981
Twitter/twhin-bert-base,ieee,prep1_aug0,seed_87212562,0.181962
Twitter/twhin-bert-base,ieee,prep1_aug0,seed_90995999,0.219133
Twitter/twhin-bert-base,ieee,prep1_aug0,seed_99511865,0.114491
albert/albert-base-v2,ieee,prep1_aug0,seed_14298463,0.349162
albert/albert-base-v2,ieee,prep1_aug0,seed_24677315,0.289003
albert/albert-base-v2,ieee,prep1_aug0,seed_37622020,0.220254
albert/albert-base-v2,ieee,prep1_aug0,seed_43782163,0.170326
albert/albert-base-v2,ieee,prep1_aug0,seed_52680723,0.229246
albert/albert-base-v2,ieee,prep1_aug0,seed_67351593,0.212949
albert/albert-base-v2,ieee,prep1_aug0,seed_70681460,0.189325
albert/albert-base-v2,ieee,prep1_aug0,seed_87212562,0.342111
albert/albert-base-v2,ieee,prep1_aug0,seed_90995999,0.173053
albert/albert-base-v2,ieee,prep1_aug0,seed_99511865,0.157301
all-MiniLM-L12-v2,ieee,prep1_aug0,seed_14298463,0.167103
all-MiniLM-L12-v2,ieee,prep1_aug0,seed_24677315,0.294309
all-MiniLM-L12-v2,ieee,prep1_aug0,seed_37622020,0.194644
all-MiniLM-L12-v2,ieee,prep1_aug0,seed_43782163,0.180434
all-MiniLM-L12-v2,ieee,prep1_aug0,seed_52680723,0.259471
all-MiniLM-L12-v2,ieee,prep1_aug0,seed_67351593,0.264816
all-MiniLM-L12-v2,ieee,prep1_aug0,seed_70681460,0.185026
all-MiniLM-L12-v2,ieee,prep1_aug0,seed_87212562,0.21689
all-MiniLM-L12-v2,ieee,prep1_aug0,seed_90995999,0.2
all-MiniLM-L12-v2,ieee,prep1_aug0,seed_99511865,0.169995
all-MiniLM-L6-v2,ieee,prep1_aug0,seed_14298463,0.319639
all-MiniLM-L6-v2,ieee,prep1_aug0,seed_24677315,0.317749
all-MiniLM-L6-v2,ieee,prep1_aug0,seed_37622020,0.338625
all-MiniLM-L6-v2,ieee,prep1_aug0,seed_43782163,0.237411
all-MiniLM-L6-v2,ieee,prep1_aug0,seed_52680723,0.332704
all-MiniLM-L6-v2,ieee,prep1_aug0,seed_67351593,0.337493
all-MiniLM-L6-v2,ieee,prep1_aug0,seed_70681460,0.251302
all-MiniLM-L6-v2,ieee,prep1_aug0,seed_87212562,0.224678
all-MiniLM-L6-v2,ieee,prep1_aug0,seed_90995999,0.229896
all-MiniLM-L6-v2,ieee,prep1_aug0,seed_99511865,0.218315
all-distilroberta-v1,ieee,prep1_aug0,seed_14298463,0.185794
all-distilroberta-v1,ieee,prep1_aug0,seed_24677315,0.221641
all-distilroberta-v1,ieee,prep1_aug0,seed_37622020,0.196252
all-distilroberta-v1,ieee,prep1_aug0,seed_43782163,0.32634
all-distilroberta-v1,ieee,prep1_aug0,seed_52680723,0.332632
all-distilroberta-v1,ieee,prep1_aug0,seed_67351593,0.189991
all-distilroberta-v1,ieee,prep1_aug0,seed_70681460,0.235863
all-distilroberta-v1,ieee,prep1_aug0,seed_87212562,0.212398
all-distilroberta-v1,ieee,prep1_aug0,seed_90995999,0.198764
all-distilroberta-v1,ieee,prep1_aug0,seed_99511865,0.230574
all-mpnet-base-v2,ieee,prep1_aug0,seed_14298463,0.118732
all-mpnet-base-v2,ieee,prep1_aug0,seed_24677315,0.163498
all-mpnet-base-v2,ieee,prep1_aug0,seed_37622020,0.145308
all-mpnet-base-v2,ieee,prep1_aug0,seed_43782163,0.128356
all-mpnet-base-v2,ieee,prep1_aug0,seed_52680723,0.122712
all-mpnet-base-v2,ieee,prep1_aug0,seed_67351593,0.103123
all-mpnet-base-v2,ieee,prep1_aug0,seed_70681460,0.126242
all-mpnet-base-v2,ieee,prep1_aug0,seed_87212562,0.130244
all-mpnet-base-v2,ieee,prep1_aug0,seed_90995999,0.177125
all-mpnet-base-v2,ieee,prep1_aug0,seed_99511865,0.121679
answerdotai/ModernBERT-base,ieee,prep1_aug0,seed_14298463,0.211957
answerdotai/ModernBERT-base,ieee,prep1_aug0,seed_24677315,0.162688
answerdotai/ModernBERT-base,ieee,prep1_aug0,seed_37622020,0.396057
answerdotai/ModernBERT-base,ieee,prep1_aug0,seed_43782163,0.155011
answerdotai/ModernBERT-base,ieee,prep1_aug0,seed_52680723,0.153216
answerdotai/ModernBERT-base,ieee,prep1_aug0,seed_67351593,0.276007
answerdotai/ModernBERT-base,ieee,prep1_aug0,seed_70681460,0.155808
answerdotai/ModernBERT-base,ieee,prep1_aug0,seed_87212562,0.202018
answerdotai/ModernBERT-base,ieee,prep1_aug0,seed_90995999,0.173375
answerdotai/ModernBERT-base,ieee,prep1_aug0,seed_99511865,0.168484
bert-base-cased,ieee,prep1_aug0,seed_14298463,0.124928
bert-base-cased,ieee,prep1_aug0,seed_24677315,0.112192
bert-base-cased,ieee,prep1_aug0,seed_37622020,0.291016
bert-base-cased,ieee,prep1_aug0,seed_43782163,0.18016
bert-base-cased,ieee,prep1_aug0,seed_52680723,0.168278
bert-base-cased,ieee,prep1_aug0,seed_67351593,0.109121
bert-base-cased,ieee,prep1_aug0,seed_70681460,0.412974
bert-base-cased,ieee,prep1_aug0,seed_87212562,0.12118
bert-base-cased,ieee,prep1_aug0,seed_90995999,0.14094
bert-base-cased,ieee,prep1_aug0,seed_99511865,0.189512
bert-base-uncased,ieee,prep1_aug0,seed_14298463,0.190759
bert-base-uncased,ieee,prep1_aug0,seed_24677315,0.185599
bert-base-uncased,ieee,prep1_aug0,seed_37622020,0.132191
bert-base-uncased,ieee,prep1_aug0,seed_43782163,0.183295
bert-base-uncased,ieee,prep1_aug0,seed_52680723,0.186035
bert-base-uncased,ieee,prep1_aug0,seed_67351593,0.134848
bert-base-uncased,ieee,prep1_aug0,seed_70681460,0.361985
bert-base-uncased,ieee,prep1_aug0,seed_87212562,0.097058
bert-base-uncased,ieee,prep1_aug0,seed_90995999,0.314929
bert-base-uncased,ieee,prep1_aug0,seed_99511865,0.156697
chandar-lab/NeoBERT,ieee,prep1_aug0,seed_14298463,0.209507
chandar-lab/NeoBERT,ieee,prep1_aug0,seed_24677315,0.313203
chandar-lab/NeoBERT,ieee,prep1_aug0,seed_37622020,0.441935
chandar-lab/NeoBERT,ieee,prep1_aug0,seed_43782163,0.326466
chandar-lab/NeoBERT,ieee,prep1_aug0,seed_52680723,0.173236
chandar-lab/NeoBERT,ieee,prep1_aug0,seed_67351593,0.302999
chandar-lab/NeoBERT,ieee,prep1_aug0,seed_70681460,0.298686
chandar-lab/NeoBERT,ieee,prep1_aug0,seed_87212562,0.1974
chandar-lab/NeoBERT,ieee,prep1_aug0,seed_90995999,0.14204
chandar-lab/NeoBERT,ieee,prep1_aug0,seed_99511865,0.173486
distilbert-base-cased,ieee,prep1_aug0,seed_14298463,0.118803
distilbert-base-cased,ieee,prep1_aug0,seed_24677315,0.168245
distilbert-base-cased,ieee,prep1_aug0,seed_37622020,0.228252
distilbert-base-cased,ieee,prep1_aug0,seed_43782163,0.165269
distilbert-base-cased,ieee,prep1_aug0,seed_52680723,0.152871
distilbert-base-cased,ieee,prep1_aug0,seed_67351593,0.439578
distilbert-base-cased,ieee,prep1_aug0,seed_70681460,0.16823
distilbert-base-cased,ieee,prep1_aug0,seed_87212562,0.132816
distilbert-base-cased,ieee,prep1_aug0,seed_90995999,0.154054
distilbert-base-cased,ieee,prep1_aug0,seed_99511865,0.155398
distilbert-base-uncased,ieee,prep1_aug0,seed_14298463,0.212873
distilbert-base-uncased,ieee,prep1_aug0,seed_24677315,0.129974
distilbert-base-uncased,ieee,prep1_aug0,seed_37622020,0.147841
distilbert-base-uncased,ieee,prep1_aug0,seed_43782163,0.188239
distilbert-base-uncased,ieee,prep1_aug0,seed_52680723,0.144821
distilbert-base-uncased,ieee,prep1_aug0,seed_67351593,0.213259
distilbert-base-uncased,ieee,prep1_aug0,seed_70681460,0.201959
distilbert-base-uncased,ieee,prep1_aug0,seed_87212562,0.151417
distilbert-base-uncased,ieee,prep1_aug0,seed_90995999,0.214036
distilbert-base-uncased,ieee,prep1_aug0,seed_99511865,0.130199
google/mobilebert-uncased,ieee,prep1_aug0,seed_14298463,0.288861
google/mobilebert-uncased,ieee,prep1_aug0,seed_24677315,0.294119
google/mobilebert-uncased,ieee,prep1_aug0,seed_37622020,0.394261
google/mobilebert-uncased,ieee,prep1_aug0,seed_43782163,0.320251
google/mobilebert-uncased,ieee,prep1_aug0,seed_52680723,0.230724
google/mobilebert-uncased,ieee,prep1_aug0,seed_67351593,0.259782
google/mobilebert-uncased,ieee,prep1_aug0,seed_70681460,0.24655
google/mobilebert-uncased,ieee,prep1_aug0,seed_87212562,0.386284
google/mobilebert-uncased,ieee,prep1_aug0,seed_90995999,0.350796
google/mobilebert-uncased,ieee,prep1_aug0,seed_99511865,0.296935
gpt2,ieee,prep1_aug0,seed_14298463,0.267042
gpt2,ieee,prep1_aug0,seed_24677315,0.315324
gpt2,ieee,prep1_aug0,seed_37622020,0.276292
gpt2,ieee,prep1_aug0,seed_43782163,0.36143
gpt2,ieee,prep1_aug0,seed_52680723,0.282623
gpt2,ieee,prep1_aug0,seed_67351593,0.262176
gpt2,ieee,prep1_aug0,seed_70681460,0.278453
gpt2,ieee,prep1_aug0,seed_87212562,0.245397
gpt2,ieee,prep1_aug0,seed_90995999,0.298002
gpt2,ieee,prep1_aug0,seed_99511865,0.260914
roberta-base,ieee,prep1_aug0,seed_14298463,0.139281
roberta-base,ieee,prep1_aug0,seed_24677315,0.115334
roberta-base,ieee,prep1_aug0,seed_37622020,0.165876
roberta-base,ieee,prep1_aug0,seed_43782163,0.095061
roberta-base,ieee,prep1_aug0,seed_52680723,0.164559
roberta-base,ieee,prep1_aug0,seed_67351593,0.154403
roberta-base,ieee,prep1_aug0,seed_70681460,0.100049
roberta-base,ieee,prep1_aug0,seed_87212562,0.104221
roberta-base,ieee,prep1_aug0,seed_90995999,0.207836
roberta-base,ieee,prep1_aug0,seed_99511865,0.134132
sarkerlab/SocBERT-base,ieee,prep1_aug0,seed_14298463,0.354348
sarkerlab/SocBERT-base,ieee,prep1_aug0,seed_24677315,0.186063
sarkerlab/SocBERT-base,ieee,prep1_aug0,seed_37622020,0.304191
sarkerlab/SocBERT-base,ieee,prep1_aug0,seed_43782163,0.228765
sarkerlab/SocBERT-base,ieee,prep1_aug0,seed_52680723,0.370841
sarkerlab/SocBERT-base,ieee,prep1_aug0,seed_67351593,0.190984
sarkerlab/SocBERT-base,ieee,prep1_aug0,seed_70681460,0.212881
sarkerlab/SocBERT-base,ieee,prep1_aug0,seed_87212562,0.22863
sarkerlab/SocBERT-base,ieee,prep1_aug0,seed_90995999,0.371364
sarkerlab/SocBERT-base,ieee,prep1_aug0,seed_99511865,0.185623
vinai/bertweet-base,ieee,prep1_aug0,seed_14298463,0.094934
vinai/bertweet-base,ieee,prep1_aug0,seed_24677315,0.333193
vinai/bertweet-base,ieee,prep1_aug0,seed_37622020,0.10475
vinai/bertweet-base,ieee,prep1_aug0,seed_43782163,0.295247
vinai/bertweet-base,ieee,prep1_aug0,seed_52680723,0.238278
vinai/bertweet-base,ieee,prep1_aug0,seed_67351593,0.222118
vinai/bertweet-base,ieee,prep1_aug0,seed_70681460,0.299123
vinai/bertweet-base,ieee,prep1_aug0,seed_87212562,0.175297
vinai/bertweet-base,ieee,prep1_aug0,seed_90995999,0.238995
vinai/bertweet-base,ieee,prep1_aug0,seed_99511865,0.150162
xlnet-base-cased,ieee,prep1_aug0,seed_14298463,0.108985
xlnet-base-cased,ieee,prep1_aug0,seed_24677315,0.122468
xlnet-base-cased,ieee,prep1_aug0,seed_37622020,0.17934
xlnet-base-cased,ieee,prep1_aug0,seed_43782163,0.181846
xlnet-base-cased,ieee,prep1_aug0,seed_52680723,0.10583
xlnet-base-cased,ieee,prep1_aug0,seed_67351593,0.386371
xlnet-base-cased,ieee,prep1_aug0,seed_70681460,0.13883
xlnet-base-cased,ieee,prep1_aug0,seed_87212562,0.174603
xlnet-base-cased,ieee,prep1_aug0,seed_90995999,0.123114
xlnet-base-cased,ieee,prep1_aug0,seed_99511865,0.173185
GroNLP/hateBERT,kaggle,prep1_aug0,seed_14298463,0.07312
GroNLP/hateBERT,kaggle,prep1_aug0,seed_24677315,0.042267
GroNLP/hateBERT,kaggle,prep1_aug0,seed_37622020,0.052077
GroNLP/hateBERT,kaggle,prep1_aug0,seed_43782163,0.123472
GroNLP/hateBERT,kaggle,prep1_aug0,seed_52680723,0.043292
GroNLP/hateBERT,kaggle,prep1_aug0,seed_67351593,0.131523
GroNLP/hateBERT,kaggle,prep1_aug0,seed_70681460,0.095936
GroNLP/hateBERT,kaggle,prep1_aug0,seed_87212562,0.113204
GroNLP/hateBERT,kaggle,prep1_aug0,seed_90995999,0.144978
GroNLP/hateBERT,kaggle,prep1_aug0,seed_99511865,0.044006
Twitter/twhin-bert-base,kaggle,prep1_aug0,seed_14298463,0.136607
Twitter/twhin-bert-base,kaggle,prep1_aug0,seed_24677315,0.156061
Twitter/twhin-bert-base,kaggle,prep1_aug0,seed_37622020,0.045016
Twitter/twhin-bert-base,kaggle,prep1_aug0,seed_43782163,0.048108
